Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"0","399500","3266","5.9","0x3E043A280000830"
"902000","399500","3277","7.0",""
"1747000","399500","3273","8.2",""
"2592000","399500","3277","9.3",""
"3442000","399500","3274","10.4",""
"4536000","399500","3277","11.9",""
"5438000","399500","3276","13.0",""
"6283000","399500","3279","14.5",""
"7128000","399500","3278","15.6",""
"7972000","399500","3279","16.8",""
"9067000","399500","3278","18.3",""
"9970000","399500","3279","19.8",""
"10814000","399500","3278","21.3",""
"11657000","399500","3279","22.8",""
"12502000","399500","3278","24.3",""
"13602000","399500","3279","25.8",""
"14504000","399500","3278","26.9",""
"15348000","399500","3279","28.0",""
"16192000","399500","3279","29.1",""
"17037000","399500","3279","30.3",""
"18132000","399500","3279","31.7",""
"19034000","399500","3280","33.3",""
"19878000","399500","3279","34.4",""
"20723000","399500","3280","35.5",""
"21567000","399500","3280","36.6",""
"22661000","399500","3280","37.7",""
"23568000","399500","3280","39.2",""
"24413000","399500","3281","40.3",""
"25259000","399500","3280","41.5",""
"26103000","399500","3281","42.6",""
"27198000","399500","3280","44.1",""
"28104000","399500","3281","45.2",""
"28950000","399500","3280","46.7",""
"29793000","399500","3281","47.8",""
"30639000","399500","3280","49.3",""
"31732000","399500","3281","51.2",""
"32633000","399500","3280","52.7",""
"33483000","399500","3280","53.8",""
"34327000","432900","3280","55.0",""
"35172000","432900","3281","56.1",""
"36265000","432900","3280","57.6",""
"37168000","432900","3281","58.7",""
"38012000","432900","3280","60.2",""
"38857000","432900","3281","61.3",""
"39702000","432900","3281","62.4",""
"40795000","432900","3281","63.5",""
"41698000","432900","3281","65.0",""
"42542000","432900","3281","66.2",""
"43391000","432900","3281","67.3",""
"44235000","432900","3281","68.4",""
"45330000","432900","3281","69.5",""
"46233000","432900","3281","71.0",""
"47077000","432900","3281","72.1",""
"47921000","432900","3281","73.3",""
"48766000","432900","3281","74.8",""
"49860000","432900","3281","76.3",""
"50763000","432900","3281","77.8",""
"51607000","432900","3281","79.3",""
"52452000","432900","3281","80.8",""
"53302000","432900","3281","81.9",""
"54395000","432900","3281","83.4",""
"55298000","432900","3281","84.9",""
"56143000","432900","3281","86.0",""
"56987000","432900","3281","87.1",""
"57831000","432900","3281","88.3",""
"58925000","432900","3281","89.4",""
"59827000","432900","3281","90.9",""
"60672000","432900","3281","92.0",""
"61516000","432900","3281","93.1",""
"62360000","432900","3281","94.2",""
"63460000","432900","3281","95.3",""
"64361000","432900","3281","96.8",""
"65206000","432900","3281","98.0",""
"66051000","432900","3281","99.1",""
"66895000","432900","3281","100.2",""
"67981000","432900","3281","101.7",""
"68892000","432900","3281","103.2",""
"69741000","422400","3281","104.3",""
"70585000","422400","3281","105.8",""
"71428000","422400","3281","107.3",""
"72523000","422400","3281","109.2",""
"73431000","422400","3281","110.3",""
"74276000","422400","3281","111.5",""
"75120000","422400","3281","113.0",""
"75965000","422400","3281","114.1",""
"77058000","422400","3281","115.2",""
"77961000","422400","3281","116.7",""
"78806000","422400","3281","117.8",""
"79649000","422400","3281","118.9",""
"80493000","422400","3281","120.1",""
"81587000","422400","3281","121.5",""
"82489000","422400","3281","122.7",""
"83339000","422400","3281","123.8",""
"84183000","422400","3281","124.9",""
"85028000","422400","3281","126.0",""
"86122000","422400","3281","127.5",""
"87024000","422400","3281","128.6",""
"87869000","422400","3281","129.8",""
"88713000","422400","3281","131.3",""
"89557000","422400","3281","132.4",""
"90710000","422400","3281","134.3",""
"91554000","422400","3281","135.8",""
"92398000","422400","3281","137.3",""
"93247000","422400","3281","138.4",""
"94091000","422400","3281","139.5",""
"95185000","422400","3281","141.0",""
"96087000","422400","3281","142.5",""
"96932000","422400","3281","143.3",""
"97776000","422400","3281","144.8",""
"98621000","422400","3281","145.9",""
"99714000","422400","3281","147.0",""
"100617000","422400","3281","148.5",""
"101462000","422400","3281","149.6",""
"102307000","422400","3281","150.7",""
"103157000","422400","3281","151.9",""
"104251000","430500","3281","153.3",""
"105152000","430500","3281","154.5",""
"105997000","430500","3281","155.6",""
"106841000","430500","3281","156.7",""
"107685000","430500","3281","157.8",""
"108779000","430500","3281","159.3",""
"109681000","430500","3281","160.8",""
"110526000","430500","3281","162.3",""
"111370000","430500","3281","163.8",""
"112219000","430500","3281","165.3",""
"113319000","430500","3281","166.8",""
"114221000","430500","3281","168.3",""
"115066000","430500","3281","169.5",""
"115910000","430500","3281","170.6",""
"116754000","430500","3281","171.7",""
"117840000","430500","3281","172.8",""
"118751000","430500","3281","174.3",""
"119596000","430500","3281","175.4",""
"120441000","430500","3281","176.6",""
"121285000","430500","3281","177.7",""
"122379000","430500","3281","179.2",""
"123287000","430500","3281","180.3",""
"124132000","430500","3281","181.4",""
"124977000","430500","3281","182.5",""
"125821000","430500","3281","183.6",""
"126907000","430500","3281","185.1",""
"127817000","430500","3281","186.6",""
"128662000","430500","3281","187.8",""
"129507000","430500","3281","189.3",""
"130352000","430500","3281","190.4",""
"131446000","430500","3281","191.9",""
"132348000","430500","3281","193.4",""
"133198000","430500","3281","194.5",""
"134043000","430500","3281","195.6",""
"134887000","430500","3281","196.8",""
"135981000","430500","3281","198.2",""
"136884000","430500","3281","199.8",""
"137728000","430500","3281","200.9",""
"138573000","430500","3281","202.0",""
"139417000","428800","3281","203.1",""
"140512000","428800","3281","204.6",""
"141414000","428800","3281","205.7",""
"142258000","428800","3281","206.8",""
"143108000","428800","3281","208.0",""
"143952000","428800","3281","209.1",""
"145047000","428800","3281","210.6",""
"145949000","428800","3281","211.7",""
"146793000","428800","3281","212.8",""
"147638000","428800","3281","213.9",""
"148482000","428800","3281","215.1",""
"149577000","428800","3281","216.5",""
"150480000","428800","3281","218.1",""
"151324000","428800","3281","219.2",""
"152169000","428800","3280","220.3",""
"153019000","428800","3280","221.4",""
"154118000","428800","3280","222.9",""
"155020000","428800","3281","224.0",""
"155865000","428800","3281","225.1",""
"156710000","428800","3281","226.3",""
"157554000","428800","3281","227.4",""
"158649000","428800","3281","228.9",""
"159551000","428800","3281","230.0",""
"160395000","428800","3280","231.1",""
"161239000","428800","3280","232.2",""
"162083000","428800","3280","233.4",""
"163183000","428800","3280","234.9",""
"164084000","428800","3280","236.0",""
"164928000","428800","3280","237.1",""
"165773000","428800","3280","238.2",""
"166617000","428800","3280","239.3",""
"167710000","428800","3280","240.8",""
"168612000","428800","3280","242.3",""
"169456000","428800","3280","243.4",""
"170302000","428800","3280","244.6",""
"171147000","428800","3280","246.1",""
"172240000","428800","3280","247.6",""
"173149000","428800","3280","248.7",""
"173993000","428800","3280","249.8",""
"174838000","428800","3280","250.9",""
"175683000","408900","3280","252.0",""
"176768000","408900","3280","253.5",""
"177679000","408900","3280","254.7",""
"178523000","408900","3280","255.8",""
"179369000","408900","3280","256.9",""
"180214000","408900","3280","258.0",""
"181308000","408900","3280","259.5",""
"182211000","408900","3280","260.6",""
"183062000","408900","3280","261.7",""
"183906000","408900","3280","262.9",""
"184751000","408900","3280","264.0",""
"185846000","408900","3280","265.1",""
"186747000","408900","3280","266.6",""
"187591000","408900","3280","267.7",""
"188436000","408900","3280","268.8",""
"189280000","408900","3280","270.0",""
"190374000","408900","3280","271.5",""
"191275000","408900","3280","273.0",""
"192119000","408900","3279","274.1",""
"192971000","408900","3279","275.2",""
"193815000","408900","3279","276.3",""
"194909000","408900","3279","277.8",""
"195816000","408900","3279","278.9",""
"196661000","408900","3279","280.1",""
"197506000","408900","3279","281.2",""
"198350000","408900","3279","282.3",""
"199445000","408900","3279","283.8",""
"200346000","408900","3279","284.9",""
"201191000","408900","3279","286.0",""
"202034000","408900","3279","287.1",""
"202880000","408900","3279","288.3",""
"203979000","408900","3279","289.8",""
"204881000","408900","3279","290.9",""
"205725000","408900","3279","292.0",""
"206569000","408900","3279","293.1",""
"207413000","408900","3279","294.2",""
"208507000","408900","3279","295.7",""
"209409000","408900","3279","297.2",""
"210254000","408900","3280","298.4",""
"211098000","408900","3280","299.5",""
"211943000","408900","3280","300.6",""
"213042000","405900","3280","302.1",""
"213945000","405900","3280","303.6",""
"214789000","405900","3280","304.7",""
"215633000","405900","3280","305.8",""
"216477000","405900","3280","306.6",""
"217572000","405900","3280","308.1",""
"218473000","405900","3280","309.2",""
"219318000","405900","3280","310.3",""
"220162000","405900","3280","311.4",""
"221006000","405900","3280","312.5",""
"222100000","405900","3280","314.0",""
"223007000","405900","3280","315.1",""
"223851000","405900","3280","316.3",""
"224695000","405900","3279","317.4",""
"225540000","405900","3279","318.5",""
"226635000","405900","3279","320.0",""
"227537000","405900","3279","321.5",""
"228381000","405900","3279","322.6",""
"229225000","405900","3279","323.7",""
"230071000","405900","3279","324.9",""
"231165000","405900","3279","326.4",""
"232066000","405900","3279","327.9",""
"232910000","405900","3279","329.0",""
"233762000","405900","3279","330.1",""
"234606000","405900","3279","331.2",""
"235700000","405900","3279","332.7",""
"236602000","405900","3279","333.8",""
"237479000","405900","3279","335.0",""
"238324000","405900","3279","336.1",""
"239169000","405900","3279","337.2",""
"240263000","405900","3279","338.7",""
"241166000","405900","3279","339.8",""
"242010000","405900","3280","340.9",""
"242854000","405900","3280","342.0",""
"243704000","405900","3280","343.2",""
"244798000","405900","3280","344.7",""
"245701000","405900","3280","345.8",""
"246546000","405900","3280","346.9",""
"247390000","405900","3280","348.0",""
"248234000","405900","3280","349.1",""
"249328000","408700","3280","351.0",""
"250230000","408700","3280","352.1",""
"251074000","408700","3280","353.3",""
"251918000","408700","3280","354.8",""
"252763000","408700","3280","355.9",""
"253862000","408700","3280","357.4",""
"254765000","408700","3280","358.5",""
"255609000","408700","3280","359.6",""
"256454000","408700","3280","360.7",""
"257299000","408700","3280","361.9",""
"258393000","408700","3280","363.4",""
"259294000","408700","3280","364.5",""
"260139000","408700","3280","365.6",""
"260984000","408700","3280","366.7",""
"261828000","408700","3279","367.8",""
"262923000","408700","3279","369.3",""
"263831000","408700","3279","370.4",""
"264676000","408700","3279","371.6",""
"265519000","408700","3279","372.7",""
"266365000","408700","3279","373.8",""
"267458000","408700","3279","375.3",""
"268359000","408700","3280","376.8",""
"269204000","408700","3280","377.9",""
"270049000","408700","3280","379.0",""
"270894000","408700","3280","380.5",""
"271987000","408700","3280","382.0",""
"272889000","408700","3280","383.2",""
"273740000","408700","3280","384.3",""
"274583000","408700","3280","385.4",""
"275428000","408700","3280","386.5",""
"276523000","408700","3280","388.0",""
"277426000","408700","3280","389.1",""
"278270000","408700","3280","390.3",""
"279115000","408700","3280","391.4",""
"279964000","408700","3280","392.5",""
"281058000","408700","3280","394.0",""
"281959000","408700","3279","395.1",""
"282804000","408700","3279","396.2",""
"283653000","408700","3279","397.3",""
"284498000","408700","3280","398.5",""
"285584000","409000","3280","400.0",""
"286494000","409000","3280","401.1",""
"287339000","409000","3280","402.2",""
"288183000","409000","3279","403.3",""
"289028000","409000","3279","404.8",""
"290123000","409000","3279","406.3",""
"291026000","409000","3280","407.8",""
"291870000","409000","3280","408.9",""
"292715000","409000","3280","410.1",""
"293565000","409000","3280","411.2",""
"294660000","409000","3280","412.7",""
"295561000","409000","3279","413.8",""
"296406000","409000","3279","414.9",""
"297251000","409000","3279","416.0",""
"298095000","409000","3279","417.2",""
"299190000","409000","3279","418.6",""
"300091000","409000","3279","419.8",""
"300936000","409000","3279","420.9",""
"301780000","409000","3279","422.0",""
"302624000","409000","3279","423.1",""
"303723000","409000","3279","424.6",""
"304626000","409000","3279","425.7",""
"305470000","409000","3279","426.9",""
"306313000","409000","3279","428.0",""
"307158000","409000","3279","429.5",""
"308253000","409000","3279","431.0",""
"309156000","409000","3279","432.1",""
"310000000","409000","3279","433.2",""
"310845000","409000","3279","434.7",""
"311690000","409000","3279","435.8",""
"312784000","409000","3279","437.3",""
"313692000","409000","3279","438.8",""
"314536000","409000","3279","440.0",""
"315381000","409000","3279","441.1",""
"316226000","409000","3279","442.2",""
"317320000","409000","3279","443.3",""
"318222000","409000","3279","444.8",""
"319066000","409000","3279","445.9",""
"319910000","409000","3279","447.1",""
"320754000","409000","3279","448.2",""
"321853000","415300","3279","449.7",""
"322755000","415300","3279","450.8",""
"323606000","415300","3280","451.9",""
"324450000","415300","3280","453.0",""
"325294000","415300","3280","454.1",""
"326388000","415300","3279","455.6",""
"327291000","415300","3280","457.1",""
"328135000","415300","3280","458.3",""
"328980000","415300","3280","459.4",""
"329824000","415300","3280","460.9",""
"330919000","415300","3280","462.4",""
"331821000","415300","3280","463.9",""
"332665000","415300","3280","465.0",""
"333516000","415300","3280","466.1",""
"334360000","415300","3280","467.3",""
"335454000","415300","3280","468.7",""
"336356000","415300","3280","470.3",""
"337200000","415300","3280","471.4",""
"338045000","415300","3280","472.5",""
"338890000","415300","3280","473.6",""
"339984000","415300","3280","475.1",""
"340886000","415300","3280","476.2",""
"341729000","415300","3280","477.3",""
"342574000","415300","3280","478.5",""
"343424000","415300","3280","479.6",""
"344518000","415300","3280","481.1",""
"345421000","415300","3281","482.2",""
"346265000","415300","3281","483.3",""
"347109000","415300","3281","484.4",""
"347954000","415300","3281","485.6",""
"349049000","415300","3281","487.0",""
"349951000","415300","3281","488.6",""
"350796000","415300","3281","489.7",""
"351641000","415300","3281","491.2",""
"352485000","415300","3281","492.3",""
"353585000","415300","3281","493.8",""
"354487000","415300","3281","494.9",""
"355332000","415300","3280","496.0",""
"356176000","415300","3280","497.2",""
"357021000","415300","3280","498.3",""
"358116000","418600","3281","499.8",""
"359018000","418600","3281","500.9",""
"359863000","418600","3281","502.0",""
"360708000","418600","3280","503.1",""
"361552000","418600","3281","504.2",""
"362646000","418600","3281","505.7",""
"363558000","418600","3280","506.9",""
"364403000","418600","3281","508.0",""
"365248000","418600","3281","509.5",""
"366092000","418600","3281","510.6",""
"367186000","418600","3281","512.1",""
"368088000","418600","3281","513.2",""
"368932000","418600","3280","514.3",""
"369776000","418600","3280","515.8",""
"370620000","418600","3280","517.0",""
"371714000","418600","3281","518.8",""
"372616000","418600","3280","520.0",""
"373465000","418600","3280","521.1",""
"374309000","418600","3280","522.2",""
"375153000","418600","3280","523.3",""
"376247000","418600","3280","524.8",""
"377149000","418600","3280","525.9",""
"377993000","418600","3280","527.1",""
"378838000","418600","3280","528.2",""
"379682000","418600","3280","529.3",""
"380776000","418600","3280","530.8",""
"381678000","418600","3280","531.9",""
"382523000","418600","3280","533.0",""
"383373000","418600","3280","534.1",""
"384217000","418600","3280","535.7",""
"385310000","418600","3280","536.8",""
"386213000","418600","3280","538.3",""
"387058000","418600","3280","539.4",""
"387902000","418600","3280","540.5",""
"388747000","418600","3280","542.0",""
"389842000","418600","3280","543.5",""
"390744000","418600","3280","545.0",""
"391589000","418600","3280","546.1",""
"392434000","418600","3280","547.6",""
"393283000","422100","3280","548.8",""
"394377000","422100","3280","550.3",""
"395280000","422100","3280","551.4",""
"396124000","422100","3280","552.5",""
"396969000","422100","3280","553.6",""
"397813000","422100","3280","555.1",""
"398907000","422100","3280","556.2",""
"399810000","422100","3280","557.7",""
"400654000","422100","3280","558.8",""
"401499000","422100","3280","560.0",""
"402343000","422100","3280","561.1",""
"403444000","422100","3280","562.6",""
"404345000","422100","3280","563.7",""
"405253000","422100","3280","564.8",""
"406098000","422100","3280","565.9",""
"406942000","422100","3280","567.1",""
"408036000","422100","3280","568.6",""
"408938000","422100","3280","570.1",""
"409783000","422100","3280","571.2",""
"410627000","422100","3280","572.7",""
"411472000","422100","3280","573.8",""
"412566000","422100","3280","575.3",""
"413474000","422100","3280","576.8",""
"414318000","422100","3280","577.9",""
"415162000","422100","3280","579.0",""
"416006000","422100","3280","580.2",""
"417101000","422100","3280","581.3",""
"418003000","422100","3280","582.8",""
"418848000","422100","3280","583.9",""
"419692000","422100","3280","584.6",""
"420537000","422100","3280","586.1",""
"421630000","422100","3280","587.2",""
"422532000","422100","3281","588.4",""
"423382000","422100","3281","589.5",""
"424227000","422100","3281","590.6",""
"425071000","422100","3281","591.7",""
"426166000","422100","3281","593.2",""
"427068000","422100","3281","594.7",""
"427913000","422100","3282","595.8",""
"428758000","422100","3281","597.0",""
"429602000","414700","3281","598.5",""
"430696000","414700","3281","600.0",""
"432123000","414700","3281","601.4","0x8000000000000800"
"433278000","414700","3281","602.2",""
"434428000","414700","3281","603.3",""
"435578000","414700","3281","604.0",""
"436663000","414700","3281","604.3",""
"437870000","414700","3281","605.0",""
"439020000","414700","3281","606.1",""
"440170000","414700","3281","606.8",""
"441319000","414700","3281","607.6",""
"442405000","414700","3281","607.9",""
"443618000","414700","3282","609.0",""
"444768000","414700","3282","609.7",""
